Issue Type,Module,Issue,Priority,OS,Testing Type
Bug,Form Templates,"Filters are incorrect, the groups filter is missing and the date last updated filter is extra.",Medium,Android,Module Testing
Bug,Form Templates,Filters do not work.,Medium,Android,Module Testing
Bug,Form Templates,In the form template list view the form template number and type field is missing.,Medium,Android,Module Testing
Bug,Form Templates,User can not access any additional actions in the list view.,Medium,Android,Module Testing
Bug,Form Templates,User can not see the share list section in the manage form template page.,Medium,Android,Module Testing
Bug,Form Templates,Delete action is extra in additional actions of the manage form template page.,Medium,Android,Module Testing
Bug,Form Templates,While previewing the form template the user has the option to submit the form which is incorrect. There should be no buttons displayed in the template.,Medium,Android,Module Testing
Bug,Form Templates,Unread markers are missing in the list view.,Medium,Android,Module Testing
Bug,Home,"Project Timeline, Highlights, and Schedule components are missing in the progress section of the home page.",Medium,Android,Module Testing
Bug,Home,Project Information component is missing in the overview section of the home page.,Medium,Android,Module Testing
Bug,Home,After a project was added through the mobile application the home screen throws an expection for all users.,Medium,Android,Module Testing
Bug,Mail,"While viewing email lists in inbox, sent and trash lists the senders name is missing.",Medium,Android,Module Testing
Bug,Mail,While viewing an email the senders name is always the name of the recipient.,Medium,Android,Module Testing
Bug,Mail,"Moving an email to trash says ""senderId is not allowed"".",Medium,Android,Module Testing
Bug,Mail,Sending an email does not close the email form once the email is sent. Additionally the email is only sent to one person instead of all the ones selected. Also the way that attachments are attached is wrong.,Medium,Android,Module Testing
Bug,Mail,Forwarding an email does not close the email form once the email is sent. Additionally the email is only sent to one person instead of all the ones selected. Also the way that attachments are attached is wrong.,Medium,Android,Module Testing
Bug,Mail,Replying to an email does not close the email form once the email is sent. Additionally the email is only sent to one person instead of all the ones selected. Also the way that attachments are attached is wrong.,Medium,Android,Module Testing
Bug,Mail,"The user only has the option to add local attachments, user can not add project references.",Medium,Android,Module Testing
Bug,Projects,The Nav Bar is missing in the projects module.,Medium,Android,Module Testing
Bug,Projects,Project information for each entry is wrong in the projects list view.,Medium,Android,Module Testing
Bug,Projects,User can not access all additional actions in the list view.,Medium,Android,Module Testing
Bug,Projects,Sequence of fields in the add project form is wrong.,Medium,Android,Module Testing
Bug,Projects,"User can not upload contractor's, consultant's or client's logo in the add project form.",Medium,Android,Module Testing
Bug,Projects,User can not select the location of a project in the add project form.,Medium,Android,Module Testing
Bug,Published Forms,"WF ID and Date last updated are extra filters, and Status, Types, Due Date, Assigned To and Groups filters are missing.",Medium,Android,Module Testing
Bug,Published Forms,The filter option should have a two step process.,Medium,Android,Module Testing
Bug,Published Forms,Filters do not work.,Medium,Android,Module Testing
Bug,Published Forms,User can not access any additional actions in the list view.,Medium,Android,Module Testing
Bug,Published Forms,Published Forms Number and Completion Comments fileds are missing in the published form list view.,Medium,Android,Module Testing
Bug,Published Forms,Associated Module Name and ID and Associated Published Workflow Name and ID fields missing in the manage published form page.,Medium,Android,Module Testing
Bug,Published Forms,While adding/editing a published form you can select form templates that havent been shared to you.,Medium,Android,Module Testing
Bug,Published Forms,Groups and allow resubmission fields are missing and the due date is named target start date in the add/edit published form form.,Medium,Android,Module Testing
Bug,Published Forms,"Edit published form feature is not working, submitting the form does nothing.",Medium,Android,Module Testing
Bug,Published Forms,User is unable to update permissions and add or remove members in the sharelist.,Medium,Android,Module Testing
Bug,Published Forms,"There should be no delete option, it should be replaced with terminate.",Medium,Android,Module Testing
Bug,Published Forms,There is no option to submit a form from inside the publihsed form module.,Medium,Android,Module Testing
Bug,Published Forms,User can not view any attachments while viewing a submitted from.,Medium,Android,Module Testing
Bug,Published Forms,Unread markers are missing in the list view.,Medium,Android,Module Testing
Bug,Published Workflows,The filter option should have a two step process.,Medium,Android,Module Testing
Bug,Published Workflows,"Filters are incorrect, name filter is extra. Additionally, the order is also incorrect.",Medium,Android,Module Testing
Bug,Published Workflows,Filters do not work. (except name),Medium,Android,Module Testing
Bug,Published Workflows,Status and Type fileds missing in the published workflow list view.,Medium,Android,Module Testing
Bug,Published Workflows,Associated Module Name and ID field and Activity Log section is missing in the manage published workflow page.,Medium,Android,Module Testing
Bug,Published Workflows,Assign a Role and Allow Form Resubmission options are missing for each step while designing a workflow in the add form.,Medium,Android,Module Testing
Bug,Published Workflows,User can not access all additional actions in the list view.,Medium,Android,Module Testing
Bug,Published Workflows,User can not edit workflows as there is nor allow resubmission field.,Medium,Android,Module Testing
Bug,Published Workflows,Remove the delete action from the additional actions in the manage published form page.,Medium,Android,Module Testing
Bug,Published Workflows,Unread markers are missing in the list view.,Medium,Android,Module Testing
Bug,Submittal Packages,"Filters are not working. (Please change how filters are applied, make them like they are in the web application.)",Medium,Android,Module Testing
Bug,Submittal Packages,The filter option should have a two step process.,Medium,Android,Module Testing
Bug,Submittal Packages,Unread markers are missing in the Submittal Packages list page.,Medium,Android,Module Testing
Bug,Submittal Packages,References are missing in manage Submittal Package page.,Medium,Android,Module Testing
Bug,Submittal Packages,Spec Number and Spec Name missing in the manage Submittal Package page.,Medium,Android,Module Testing
Bug,Submittal Packages,Submittals filter is missing and the filters are not in the correct order.,Medium,Android,Module Testing
Bug,Submittal Packages,"The title ""Sequence of Submittals"" should be mentioned once  before we select the list of submittals instead of inside the form with every stage.",Medium,Android,Module Testing
Bug,Submittal Packages,Nothing happens if you download submittal packages.,Medium,Android,Module Testing
Bug,Submittal Packages,User can not access any additional actions in the list view.,Medium,Android,Module Testing
Bug,Submittals,"Filters are not working. (Please change how filters are applied, make them like they are in the web application.)",Medium,Android,Module Testing
Bug,Submittals,The filter option should have a two step process.,Medium,Android,Module Testing
Bug,Submittals,Unread and pending markers are missing in the Submittal list view.,Medium,Android,Module Testing
Bug,Submittals,"WBS Path, Groups, Subitter, Submitter Submission, Submitter Submission Attachments, Submitter Due Date, Required Date, Required Approval Date, Required on Job Site Date and Lead Time (In days) missing in manage submittal page.",Medium,Android,Module Testing
Bug,Submittals,Submit Submission and Edit Submission features are missing.,Medium,Android,Module Testing
Bug,Submittals,"Expert, Required Date, Required Approval Date, Required on Job Site Date, and Date Created filters are missing and additionally the order of the filters is also incorrect.",Medium,Android,Module Testing
Bug,Submittals,Description is named Workflow Description in the add submittal form.,Medium,Android,Module Testing
Bug,Submittals,"Submitter field is missing in the add subnmittal form, additionally there is no option to add or edit the sharelist while adding a submittal.",Medium,Android,Module Testing
Bug,Submittals,Error incoming that user can not add the submittal as the submitterID is missing.,Medium,Android,Module Testing
Bug,Submittals,"The submit response option in the submittals does not have the option to add references, attachments, voice messages and photos.",Medium,Android,Module Testing
Bug,Submittals,The edit functionality is not working.,Medium,Android,Module Testing
Bug,Submittals,Download Submittal is not working it says failed to fetch URL.,Medium,Android,Module Testing
Bug,Submittals,User is unable to update permissions and add or remove members in the sharelist.,Medium,Android,Module Testing
Bug,Submittals,Manage workflow button is missing in the manage submittal page.,Medium,Android,Module Testing
Bug,Submittals,User can not access any additional actions in the list view.,Medium,Android,Module Testing
Bug,Teams,The filter option should have a two step process.,Medium,Android,Module Testing
Bug,Teams,"Filters are not working. (Please change how filters are applied, make them like they are in the web application.)",Medium,Android,Module Testing
Bug,Teams,"The input validaiton for the first name and last name in the add team member form is incorrect, please coordinate from the web application.",Medium,Android,Module Testing
Bug,Teams,The title option in the add team member form is not loading any previous titles.,Medium,Android,Module Testing
Bug,Teams,Permissions in the edit team member form are not loading.,Medium,Android,Module Testing
Bug,Teams,View team members list does not include company name and all the additional actions mentioned.,Medium,Android,Module Testing
Bug,Teams,View team members does not include project essential's and schedule components additionally the additional actions are not named correctly.,Medium,Android,Module Testing
Bug,Teams,Deleting a person does delete the person but keeps on loading the teams screen afterwards untill you logout and login again.,Medium,Android,Module Testing
Bug,WBS,WBS Nav Bar is missing in the WBS module.,Medium,Android,Module Testing
Bug,WBS,"WBS Task view is missing the status, assigned to, predecessors and the successors fields and some additional actions are missing. (Some fields need to be named correctly as well.)",Medium,Android,Module Testing
Bug,WBS,Start and stop WBS task features are missing.,Medium,Android,Module Testing
Bug,WBS,Actual start date and end date are compulsory in the add WBS form.,Medium,Android,Module Testing
Bug,WBS,Add WBS task form keeps on loading after you submit but does not close. Additionally the newly added tasks can not be opened.,Medium,Android,Module Testing
Bug,WBS,Edit WBS task form keeps on loading after you submit but does not close.,Medium,Android,Module Testing
Bug,WBS,"If the user deletes a WBS task it says ""Some error occured"".",Medium,Android,Module Testing
Bug,Workflow Templates,User can not access all additional actions in the list view.,Medium,Android,Module Testing
Bug,Workflow Templates,The filter option should have a two step process.,Medium,Android,Module Testing
Bug,Workflow Templates,"Filters are incorrect, name filter is extra.",Medium,Android,Module Testing
Bug,Workflow Templates,Filters do not work. (except name),Medium,Android,Module Testing
Bug,Workflow Templates,Workflow Template Number and Type fields are missing in the workflow template list view.,Medium,Android,Module Testing
Bug,Workflow Templates,Date Last Updated is missing in manage workflow template page.,Medium,Android,Module Testing
Bug,Workflow Templates,The name heading in the manage workflow template page should be renamed to Workflow.,Medium,Android,Module Testing
Bug,Workflow Templates,In there add form the module filed should not have an option to add more modules.,Medium,Android,Module Testing
Bug,Workflow Templates,Assign a Role and Allow Form Resubmission options are missing for each step while designing a workflow in the add form.,Medium,Android,Module Testing
Bug,Workflow Templates,User can not access all additional actions in the list view.,Medium,Android,Module Testing
Bug,Workflow Templates,Unread markers are missing in the list view.,Medium,Android,Module Testing
Bug,Workspace Layer,User can not change data plain's products in the side bar.,Medium,Android,Module Testing
Bug,Workspace Layer,The side bar does not show blue markers for unread and red markers for pending.,Medium,Android,Module Testing
Bug,Workspace Layer,The sequence of module names in the sidebar is not consistent with the web.,Medium,Android,Module Testing
Bug,Workspace Layer,"The bottom bar shows incorrect fileds, it should show Chat and Mail instead of WBS and RFA.",Medium,Android,Module Testing
Bug,Workspace Layer,Data Plain's assistant is missing.,Medium,Android,Module Testing
