Module,Issue,Priority,OS,Testing Type
Submittals,User is unable to update permissions and add or remove members in the sharelist.,Medium,Android,Module Testing
Submittals,Manage workflow button is missing in the manage submittal page.,Medium,Android,Module Testing
Submittals,User can not access any additional actions in the list view.,Medium,Android,Module Testing
Teams,The filter option should have a two step process.,Medium,Android,Module Testing
Teams,"Filters are not working. (Please change how filters are applied, make them like they are in the web application.)",Medium,Android,Module Testing
Teams,"The input validaiton for the first name and last name in the add team member form is incorrect, please coordinate from the web application.",Medium,Android,Module Testing
Teams,The title option in the add team member form is not loading any previous titles.,Medium,Android,Module Testing
Teams,Permissions in the edit team member form are not loading.,Medium,Android,Module Testing
Teams,View team members list does not include company name and all the additional actions mentioned.,Medium,Android,Module Testing
Teams,View team members does not include project essential's and schedule components additionally the additional actions are not named correctly.,Medium,Android,Module Testing
Teams,Deleting a person does delete the person but keeps on loading the teams screen afterwards untill you logout and login again.,Medium,Android,Module Testing
WBS,WBS Nav Bar is missing in the WBS module.,Medium,Android,Module Testing
WBS,"WBS Task view is missing the status, assigned to, predecessors and the successors fields and some additional actions are missing. (Some fields need to be named correctly as well.)",Medium,Android,Module Testing
WBS,Start and stop WBS task features are missing.,Medium,Android,Module Testing
WBS,Actual start date and end date are compulsory in the add WBS form.,Medium,Android,Module Testing
WBS,Add WBS task form keeps on loading after you submit but does not close. Additionally the newly added tasks can not be opened.,Medium,Android,Module Testing
WBS,Edit WBS task form keeps on loading after you submit but does not close.,Medium,Android,Module Testing
WBS,"If the user deletes a WBS task it says ""Some error occured"".",Medium,Android,Module Testing
Workflow Templates,User can not access all additional actions in the list view.,Medium,Android,Module Testing
Workflow Templates,The filter option should have a two step process.,Medium,Android,Module Testing
Workflow Templates,"Filters are incorrect, name filter is extra.",Medium,Android,Module Testing
Workflow Templates,Filters do not work. (except name),Medium,Android,Module Testing
Workflow Templates,Workflow Template Number and Type fields are missing in the workflow template list view.,Medium,Android,Module Testing
Workflow Templates,Date Last Updated is missing in manage workflow template page.,Medium,Android,Module Testing
Workflow Templates,The name heading in the manage workflow template page should be renamed to Workflow.,Medium,Android,Module Testing
Workflow Templates,In there add form the module filed should not have an option to add more modules.,Medium,Android,Module Testing
Workflow Templates,Assign a Role and Allow Form Resubmission options are missing for each step while designing a workflow in the add form.,Medium,Android,Module Testing
Workflow Templates,User can not access all additional actions in the list view.,Medium,Android,Module Testing
Workflow Templates,Unread markers are missing in the list view.,Medium,Android,Module Testing
Workspace Layer,User can not change data plain's products in the side bar.,Medium,Android,Module Testing
Workspace Layer,The side bar does not show blue markers for unread and red markers for pending.,Medium,Android,Module Testing
Workspace Layer,The sequence of module names in the sidebar is not consistent with the web.,Medium,Android,Module Testing
Workspace Layer,"The bottom bar shows incorrect fileds, it should show Chat and Mail instead of WBS and RFA.",Medium,Android,Module Testing
Workspace Layer,Data Plain's assistant is missing.,Medium,Android,Module Testing
